Name;ClassSet;PersonalClass;SpecialProperty
Marth;P;Lord;lord
Jagen;A;;
Cain;A;;
Abel;A;;
Gordin;A;;
Draug;B;;
Shiida;F;;
Wrys;A;;
Ogma;B;;
Barst;B;;
Bord;B;;
Cord;B;;
Darros;B;;
Castor;B;;
Lena;F;;
Julian;P;Thief;
Navarre;A;;
Matthis;A;;
Merric;A;;
Hardin;A;;
Wolf;B;;
Sedgar;B;;
Roshea;A;;
Vyland;A;;
Wendell;A;;
Rickard;P;Thief;
Bantu;P;Manakete;
Caesar;B;;
Radd;A;;
Roger;B;;
Jeorge;A;;
Maria;F;;
Minerva;F;;
Linde;F;;
Jake;P;Ballistician;
Midia;F;;
Boah;A;;
Tomas;A;;
Dolph;B;;
Macellan;B;;
Beck;P;Ballistician;
Astram;B;;
Catria;F;;
Palla;F;;
Xane;P;Freelancer;
Arran;A;;choose
Samson;B;;choose
Est;F;;
Tiki;P;Manakete;
Lorenz;B;;
Elice;F;;
Athena;F;;gaiden
Horace;B;;gaiden
Etzel;B;;gaiden
Ymir;B;;gaiden
Nagi;P;Manakete;free
Gotoh;A;Sage;free
