Name;ClassSet;Routes;SpecialProperty
Sylvain;M;all;
Ingrid;F;all;
Felix;M;all;
Ashe;M;all;
Annette;F;all;
Mercedes;F;all;
Leonie;F;all;
Ignatz;M;all;
Raphael;M;all;
Lorenz;M;all;
Lysithea;F;all;
Marianne;F;all;
Petra;F;all;
Bernadetta;F;all;
Ferdinand;M;all;
Dorothea;F;all;
Linhardt;M;all;
Caspar;M;all;
Hanneman;M;all;fac
Manuela;F;all;fac
Shamir;F;all;fac
Alois;M;all;fac
Cyril;M;notcf;fac
Seteth;M;notcf;fac
Flayn;F;notcf;
Catherine;F;notcf;fac
Hilda;F;notcf;hilda
Claude;M;vw;lord
Dimitri;M;am;lord
Edelgard;F;cf;lord
Dedue;M;am;
Gilbert;M;am;fac
Hubert;M;cf;
Jeritza;M;cf;fac
